x,y,z,opacity,f_dc_0,f_dc_1,f_dc_2,cov6_0,cov6_1,cov6_2,cov6_3,cov6_4,cov6_5
-1.1394438743591309,-0.6142467260360718,0.13081452250480652,0.06486013089614873,0.640263998957977,0.4557965195333071,0.31028379982385207,3.668497315796114e-05,2.098252876684677e-05,-2.0914941863590165e-05,9.462457937612857e-05,-7.588956570843128e-05,9.569729762515461e-05
-1.1389892101287842,-0.6380599737167358,0.09360304474830627,0.15022192596830383,0.7631324380397604,0.5470116973751546,0.39949398998775093,5.4876094627969144e-05,-6.487476021831429e-05,-6.629372811867932e-05,0.0003368599531025309,0.00014002984245307977,0.00021523329789236662
-1.1351133584976196,-0.5709368586540222,0.10622294992208481,0.4066067479016507,0.8607643784864691,0.7637763531056314,0.5968831722799715,2.1174845944374115e-05,4.89572221163352e-06,-1.741040474587775e-05,0.0002964298100915133,0.00010031291648513217,0.00029177190714617217
-1.134774088859558,-0.5920639038085938,0.0792025700211525,0.1707925889808272,0.7896500999921938,0.5858621378390789,0.4153578219364017,1.0134663226853963e-05,2.801856848718033e-05,-3.633849365596887e-05,0.00033884855317391384,-7.502461916640323e-05,0.0001940460318053815
-1.1324881315231323,-0.6169222593307495,0.15251056849956512,0.7896131031505507,0.4199187300541628,0.20918642740236404,0.05914658342583995,3.803987830448314e-05,-1.2785806026074957e-05,6.208954206041556e-05,0.0002547988846592879,4.8620844881630036e-05,0.0002743585962778361
-1.131432294845581,-0.5299926400184631,0.11480902880430222,0.36131124980776474,0.747814872923613,0.66121065054634,0.5232026914871315,2.4211447286187895e-05,8.260297000810714e-05,-1.0844171123494743e-05,0.00036625374343283334,8.064983899207033e-06,0.0003929625488587027
-1.1311798095703125,-0.6456441283226013,0.10679628700017929,0.5132670462084088,0.6848838778899804,0.43530537194254126,0.2527031040849316,3.9872098672726186e-05,-3.1521347212642215e-05,4.131133990500568e-08,0.0005506223261807657,-0.0003015866390301395,0.0002744322669759287
-1.130375862121582,-0.5628036260604858,0.1306530088186264,0.19272935368333882,0.9000367744955364,0.8010893446241214,0.6563757388795546,2.566667989208209e-05,-3.916344896096321e-05,-1.0467403836959295e-05,0.0002815086314362437,0.00016570543201462342,0.00017940919887631565
-1.130323886871338,-0.5932186841964722,0.1004066988825798,0.1235099849743644,1.0769781645081817,0.9317347614006909,0.7290232837969997,3.3166861365959164e-05,-1.4612656946545901e-05,-1.9318174022150294e-05,2.8598217242010283e-05,-1.770150241412241e-05,5.486578674663815e-05
-1.1294047832489014,-0.6650862097740173,0.09111785888671875,0.21757614252022098,0.8945460433377015,0.6350472209066869,0.46081758076386564,5.501749002132544e-05,-8.531852578050972e-05,-5.695655933410097e-05,0.000298747390778743,-4.6659676149955614e-05,0.00022369864498542982
-1.1291871070861816,-0.5713203549385071,0.14148741960525513,0.22378874749956332,0.31276385477439117,0.13628665327290906,0.012603744694748564,4.892926990287941e-05,0.00012078501477582117,7.630971467864057e-05,0.0005201740111041537,0.0003788371059827125,0.0002977361182047553
-1.128718614578247,-0.581035315990448,0.16960109770298004,0.3714475181525968,0.3230557515801792,0.11924493057673907,-0.003886574443081714,5.393313209404015e-05,6.579213721996946e-05,9.440585821965188e-05,0.00022158605496487905,0.00010043076646692725,0.00023692834893326143
-1.1286503076553345,-0.6444286704063416,0.08271424472332001,0.21736757414271726,0.8582136031795728,0.5757669667036139,0.3837679332649657,3.985039135554662e-05,1.5768808987208337e-05,-5.959257872967835e-05,0.0003434848413395528,-0.00033710068483052015,0.0004074634949970869
-1.127517580986023,-0.545160174369812,0.0783495083451271,0.05086657089616032,1.1528938944911276,1.0408639721449924,0.8400495689412899,1.8803889123675292e-05,-5.129742665461575e-06,-4.690188771817304e-05,2.415741015664219e-05,-4.416915500410025e-05,0.0002974439018085579
-1.126447319984436,-0.6263371109962463,0.13743045926094055,0.12717697626893917,0.672705196950036,0.412171505015243,0.23793152836764997,9.747512816824769e-05,-5.0654579044800566e-05,8.734957139784588e-06,0.0007867757110891218,-6.277400270835927e-05,2.548285041847038e-05
-1.1263048648834229,-0.6094126105308533,0.09452492743730545,0.15093373270484803,0.40104340641146313,0.1571625424695151,-0.006622540906639385,9.839353273566997e-05,-3.276550187188576e-05,-0.00019563617074561888,6.548017584016422e-05,9.348488074347375e-05,0.0005211240877371645
-1.1257456541061401,-0.5340583920478821,0.08072778582572937,0.2358628464132171,0.7789346208712966,0.6697273756111002,0.5014059993904116,6.835222720516316e-05,0.00017019189416434766,-0.0001251940507604009,0.0006799368002102145,-0.00015128965286303223,0.0004323254506591043
-1.125732183456421,-0.5340776443481445,0.08070612698793411,0.38143414825494404,0.7814538528143018,0.6731411881151196,0.5024327228278213,7.12070092625093e-05,0.00017636620728089534,-0.00013432742920529395,0.0007117935413793421,-0.0001634428474048719,0.00046116841123767903
-1.1250993013381958,-0.5385023355484009,0.1357118785381317,0.0947754708165213,0.9848868092032829,0.8110901715086307,0.5595419245658423,4.750243190971598e-05,6.445069001296943e-07,9.797060749591772e-06,0.00022831487332933785,-2.002656598270386e-05,9.262509034789705e-05
-1.1244555711746216,-0.6182892918586731,0.12520653009414673,0.2314899893966306,0.6802936290632695,0.43978112895124827,0.2675264842287315,0.00014370427676906202,-3.1146822326578718e-06,-8.81401024687905e-06,0.0009005160389859877,3.956655757625005e-05,1.9544756316944332e-05
-1.124212384223938,-0.6070505976676941,0.07618606090545654,0.46806666844086414,0.6326591057822439,0.3469503709666525,0.15025047675067615,7.0055552623677e-05,0.00012118290942306893,-0.00011892981122334737,0.0005464155076689559,-0.00044417577747863426,0.0004985974606770586
-1.1240558624267578,-0.6681591272354126,0.15229184925556183,0.40926795258486043,0.40559972426358337,0.1616737479307399,-0.0075838064256451565,3.4331070606495545e-05,-2.8636897748226e-05,8.780772447320122e-05,0.0003938562129383437,8.875341479136923e-05,0.0003916273851823303
-1.1234928369522095,-0.5108539462089539,0.14815913140773773,0.259176445708456,0.7670177700286404,0.6857146319001788,0.5535663024625207,0.0001021049166108844,0.00022265099335754953,7.9195168452333e-05,0.000580458618780296,0.0001313752551811099,0.00022626371790568977
-1.1234443187713623,-0.6077091693878174,0.115174800157547,0.09972862728995795,0.8380743759546072,0.6019817467874693,0.3938005136903643,7.854563180560867e-05,6.305647106599295e-05,2.4969345895334272e-06,0.0013558499592601313,-0.0007774368314657186,0.0004870812185451869
